RECORDID,FIRSTNAME,LASTNAME,ADDRESS,CITY,POSTALCODEZIP,COUNTRY,GENDER,AGE,INCOMECODE,INCOMERANGE,INCOME,OCCUPATION,EDUCATION,RESIDENCE,FAMILYTYPE,SEGMENTATION,VISITS,TEMP_LATLONCODE,LAT,LONG,HubName,HubDist
54,Emiliano,Matsuyama,,TORONTO,,Canada,Female,57,1,"40,000 - 69,999",59820,Administration,College,Rent,Singles,Young Up and Comers,99,458,43.694883,-79.546704,"7",3.68021581022207
55,Tommy,Koepka,,TORONTO,,Canada,Male,50,5,"160,000 - 189,999",170621,Executive,Doctorate,Owner,Family,City Affluence,32,182,43.819589,-79.293852,"46",4.17079223297061
56,Robert,Hatton,,TORONTO,,Canada,Female,22,3,"100,000 - 129,999",111554,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,79,230,43.716937,-79.263631,"56",1.96526570412319
57,Shane,Grillo,,TORONTO,,Canada,Male,43,4,"130,000 - 169,999",151884,Sr. Manager,Masters,Owner,Family,Established Success,121,1046,43.638729,-79.563366,"28",1.07486479157432
58,Tyrrell,Poston,,TORONTO,,Canada,Male,51,2,"70,000 - 99,999 ",72163,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,119,589,43.710939,-79.29352,"2",3.81013867868621
59,Ludvig,Thomas,,TORONTO,,Canada,Female,55,5,"160,000 - 189,999",169188,Executive,Doctorate,Owner,Family,City Affluence,141,937,43.764288,-79.203083,"43",2.08320252509458
60,Min Woo,Ancer,,TORONTO,,Canada,Female,28,2,"70,000 - 99,999 ",94849,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,106,561,43.613882,-79.550009,"28",2.09732761056343
61,Tommy,Rahm,,TORONTO,,Canada,Male,32,5,"160,000 - 189,999",181112,Executive,Doctorate,Owner,Family,City Affluence,65,700,43.666155,-79.586989,"32",1.4874833012459
62,Phil,Zalatoris,,TORONTO,,Canada,Female,29,5,"160,000 - 189,999",163411,Executive,Doctorate,Owner,Family,City Affluence,51,875,43.778835,-79.276585,"46",1.49765837241879
63,Scottie,Aberg,,TORONTO,,Canada,Male,26,5,"160,000 - 189,999",177277,Executive,Doctorate,Owner,Family,City Affluence,17,524,43.783878,-79.35088,"44",2.710505218203
64,Tiger,Grillo,,TORONTO,,Canada,Female,28,2,"70,000 - 99,999 ",73476,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,78,179,43.769377,-79.457149,"54",0.128062010455153
65,Brooks,Bhatia,,TORONTO,,Canada,Male,26,3,"100,000 - 129,999",105540,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,41,649,43.79319,-79.208136,"57",2.63022566551521
66,Cameron,Finau,,TORONTO,,Canada,Male,23,5,"160,000 - 189,999",168650,Executive,Doctorate,Owner,Family,City Affluence,21,820,43.760746,-79.347046,"37",2.71272818353492
67,Robert,Im,,TORONTO,,Canada,Male,43,4,"130,000 - 169,999",137704,Sr. Manager,Masters,Owner,Family,Established Success,23,380,43.705508,-79.554856,"7",4.07837391329633
68,Ludvig,Cantlay,,TORONTO,,Canada,Female,25,2,"70,000 - 99,999 ",90108,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,131,221,43.76356,-79.298342,"41",0.780702242295699
69,Sahith,Conners,,TORONTO,,Canada,Male,32,2,"70,000 - 99,999 ",83824,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,29,976,43.67938,-79.494291,"30",2.79914351060246
70,Max,MacIntyre,,TORONTO,,Canada,Female,20,3,"100,000 - 129,999",116147,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,18,545,43.647652,-79.41165,"27",1.98257331054115
71,Max,Homa,,TORONTO,,Canada,Male,23,4,"130,000 - 169,999",146605,Sr. Manager,Masters,Owner,Family,Established Success,43,918,43.655965,-79.479058,"49",0.750436919852604
72,Max,DeChambeau,,TORONTO,,Canada,Female,33,1,"40,000 - 69,999",47926,Administration,College,Rent,Singles,Young Up and Comers,116,73,43.77184,-79.334223,"38",1.4902435621851
73,Cameron,Eckroat,,TORONTO,,Canada,Male,33,2,"70,000 - 99,999 ",73465,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,145,784,43.686462,-79.401329,"5",0.0993034340720862
74,Ludvig,Young,,TORONTO,,Canada,Female,30,1,"40,000 - 69,999",60006,Administration,College,Rent,Singles,Young Up and Comers,73,1177,43.634899,-79.535008,"28",2.52500640742469
75,Adam,Spieth,,TORONTO,,Canada,Female,25,1,"40,000 - 69,999",62233,Administration,College,Rent,Singles,Young Up and Comers,80,86,43.736882,-79.211904,"45",0.704338419872985
76,Viktor,Koepka,,TORONTO,,Canada,Male,47,4,"130,000 - 169,999",133161,Sr. Manager,Masters,Owner,Family,Established Success,8,858,43.690379,-79.564697,"32",4.3555063020557
77,Adam,Niemann,,TORONTO,,Canada,Female,36,2,"70,000 - 99,999 ",91839,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,91,1162,43.614096,-79.536672,"28",2.85156249979111
78,Tyrrell,Im,,TORONTO,,Canada,Male,45,4,"130,000 - 169,999",149944,Sr. Manager,Masters,Owner,Family,Established Success,1,132,43.721568,-79.501381,"8",1.56632332237975
79,Rory,Hughes,,TORONTO,,Canada,Female,22,1,"40,000 - 69,999",68847,Administration,College,Rent,Singles,Young Up and Comers,34,894,43.74676,-79.528763,"34",3.49747388570839
80,Adam,Bezuidenhout,,TORONTO,,Canada,Male,31,5,"160,000 - 189,999",179679,Executive,Doctorate,Owner,Family,City Affluence,120,926,43.661356,-79.581362,"32",0.9016551459074
81,Jon,Im,,TORONTO,,Canada,Male,44,5,"160,000 - 189,999",161220,Executive,Doctorate,Owner,Family,City Affluence,17,1197,43.748674,-79.553526,"7",6.08142419181253
82,Cameron,Smith,,TORONTO,,Canada,Male,31,5,"160,000 - 189,999",165560,Executive,Doctorate,Owner,Family,City Affluence,2,387,43.776545,-79.238657,"57",1.31556525858706
83,Adam,Zalatoris,,TORONTO,,Canada,Male,29,4,"130,000 - 169,999",140966,Sr. Manager,Masters,Owner,Family,Established Success,124,1145,43.776259,-79.355451,"50",2.5483460525363
84,Brian,Homa,,TORONTO,,Canada,Female,18,2,"70,000 - 99,999 ",90541,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,35,1095,43.659083,-79.341149,"24",1.04735047730398
85,Phil,Straka,,TORONTO,,Canada,Male,19,1,"40,000 - 69,999",66178,Administration,College,Rent,Singles,Young Up and Comers,28,1092,43.837726,-79.206583,"57",6.11494559640261
86,Adam,Noren,,TORONTO,,Canada,Male,25,2,"70,000 - 99,999 ",96882,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,74,761,43.669954,-79.379881,"13",0.808204105789573
87,Ludvig,Homa,,TORONTO,,Canada,Female,18,4,"130,000 - 169,999",153056,Sr. Manager,Masters,Owner,Family,Established Success,4,247,43.788393,-79.231339,"57",0.70683592055566
88,Akshay,Finau,,TORONTO,,Canada,Female,24,2,"70,000 - 99,999 ",86256,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,73,736,43.777646,-79.427197,"53",2.96955073358751
89,Wyndham,Eckroat,,TORONTO,,Canada,Male,22,3,"100,000 - 129,999",127098,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,139,4,43.798937,-79.156937,"43",6.76129678428556
90,Alex,Woods,,TORONTO,,Canada,Male,35,5,"160,000 - 189,999",182470,Executive,Doctorate,Owner,Family,City Affluence,53,295,43.668792,-79.547569,"30",2.88981105690089
91,Sahith,Morikawa,,TORONTO,,Canada,Female,20,2,"70,000 - 99,999 ",72341,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,81,1194,43.621273,-79.385214,"17",5.82746587316292
92,Mackenzie,Woods,,TORONTO,,Canada,Male,32,2,"70,000 - 99,999 ",87280,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,132,555,43.768456,-79.270612,"41",1.54428383335361
93,Cameron,Woods,,TORONTO,,Canada,Female,57,2,"70,000 - 99,999 ",87798,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,86,658,43.654425,-79.468253,"49",0.29955500641139
94,Jason,Rahm,,TORONTO,,Canada,Female,24,1,"40,000 - 69,999",69522,Administration,College,Rent,Singles,Young Up and Comers,13,946,43.705758,-79.496927,"8",0.463983076527248
95,Tom,Im,,TORONTO,,Canada,Female,19,4,"130,000 - 169,999",158217,Sr. Manager,Masters,Owner,Family,Established Success,98,1189,43.769613,-79.30286,"46",1.53228710474999
96,Patrick,Lowry,,TORONTO,,Canada,Male,23,3,"100,000 - 129,999",104520,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,136,922,43.649473,-79.559452,"28",2.30587668823031
97,Tony,Homa,,TORONTO,,Canada,Female,50,2,"70,000 - 99,999 ",93831,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,139,83,43.770076,-79.348512,"38",2.40976055010448
98,Corey,Hadwin,,TORONTO,,Canada,Female,36,4,"130,000 - 169,999",151481,Sr. Manager,Masters,Owner,Family,Established Success,80,1078,43.64623,-79.548333,"28",2.33862124100087
99,Collin,Koepka,,TORONTO,,Canada,Female,58,4,"130,000 - 169,999",153275,Sr. Manager,Masters,Owner,Family,Established Success,38,875,43.778835,-79.276585,"46",1.49765837241879
100,Justin,Scheffler,,TORONTO,,Canada,Male,30,1,"40,000 - 69,999",64515,Administration,College,Rent,Singles,Young Up and Comers,72,280,43.718894,-79.337078,"35",1.74498933142711
101,Austin,DeChambeau,,TORONTO,,Canada,Female,35,3,"100,000 - 129,999",125098,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,34,360,43.713767,-79.480894,"16",1.97389702088477
102,Ludvig,Mickelson,,TORONTO,,Canada,Male,49,5,"160,000 - 189,999",184939,Executive,Doctorate,Owner,Family,City Affluence,20,732,43.826899,-79.203264,"57",5.21071418941332
103,Tyrrell,Aberg,,TORONTO,,Canada,Male,39,3,"100,000 - 129,999",126211,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,28,1042,43.633359,-79.578259,"28",1.14687372393801
104,Tiger,Zalatoris,,TORONTO,,Canada,Male,52,4,"130,000 - 169,999",130155,Sr. Manager,Masters,Owner,Family,Established Success,127,137,43.724284,-79.248169,"56",2.66836384874716
105,Will,Lee,,TORONTO,,Canada,Female,40,5,"160,000 - 189,999",187437,Executive,Doctorate,Owner,Family,City Affluence,59,351,43.740063,-79.543108,"7",4.80886819035368
106,Phil,Noren,,TORONTO,,Canada,Male,22,2,"70,000 - 99,999 ",82292,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,84,550,43.824273,-79.180525,"57",6.24006946690458
107,Mackenzie,Straka,,TORONTO,,Canada,Male,51,1,"40,000 - 69,999",49661,Administration,College,Rent,Singles,Young Up and Comers,64,867,43.77343,-79.373067,"50",1.17845371530757
108,Sungjae,Grillo,,TORONTO,,Canada,Female,44,3,"100,000 - 129,999",114619,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,105,323,43.672246,-79.570842,"32",2.29540426592172
109,Justin,McIlroy,,TORONTO,,Canada,Male,42,1,"40,000 - 69,999",49769,Administration,College,Rent,Singles,Young Up and Comers,65,278,43.759976,-79.511518,"34",2.29585689358533
110,Austin,Rahm,,TORONTO,,Canada,Female,30,5,"160,000 - 189,999",178870,Executive,Doctorate,Owner,Family,City Affluence,91,689,43.726411,-79.360878,"37",1.47499971783007
111,Scottie,Morikawa,,TORONTO,,Canada,Female,43,4,"130,000 - 169,999",131500,Sr. Manager,Masters,Owner,Family,Established Success,50,35,43.654157,-79.479783,"49",0.730075688883791
112,Robert,Thomas,,TORONTO,,Canada,Male,58,5,"160,000 - 189,999",183737,Executive,Doctorate,Owner,Family,City Affluence,78,869,43.659124,-79.571161,"32",1.09392422454833
113,Hideki,Smith,,TORONTO,,Canada,Female,58,3,"100,000 - 129,999",106682,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,124,100,43.647178,-79.577449,"32",0.770589629241306
114,Sepp,Day,,TORONTO,,Canada,Male,33,2,"70,000 - 99,999 ",70735,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,15,229,43.674234,-79.335046,"24",1.26001020691711
115,Jordan,Smith,,TORONTO,,Canada,Male,58,4,"130,000 - 169,999",143393,Sr. Manager,Masters,Owner,Family,Established Success,6,748,43.73341,-79.251522,"56",3.64507677204827
116,Tyrrell,Koepka,,TORONTO,,Canada,Male,46,2,"70,000 - 99,999 ",97655,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,89,742,43.836242,-79.20299,"57",6.10361743624941
117,Tom,Young,,TORONTO,,Canada,Male,54,1,"40,000 - 69,999",45151,Administration,College,Rent,Singles,Young Up and Comers,115,334,43.7804,-79.316295,"38",1.94598525330956
118,Scottie,DeChambeau,,TORONTO,,Canada,Female,44,2,"70,000 - 99,999 ",81935,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,143,479,43.696853,-79.526203,"7",2.10472820190024
119,Adam,Woods,,TORONTO,,Canada,Male,20,2,"70,000 - 99,999 ",98408,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,137,464,43.739994,-79.449664,"52",1.43159575823685
120,Rory,Hadwin,,TORONTO,,Canada,Female,46,5,"160,000 - 189,999",178952,Executive,Doctorate,Owner,Family,City Affluence,49,260,43.670526,-79.41972,"27",0.645979638304586
121,Tom,Finau,,TORONTO,,Canada,Female,44,5,"160,000 - 189,999",182647,Executive,Doctorate,Owner,Family,City Affluence,70,279,43.809733,-79.31422,"44",1.80722849326746
122,Cameron,Bhatia,,TORONTO,,Canada,Male,44,1,"40,000 - 69,999",55593,Administration,College,Rent,Singles,Young Up and Comers,132,299,43.709912,-79.56386,"32",6.46338762143034
123,Patrick,Hovland,,TORONTO,,Canada,Male,33,2,"70,000 - 99,999 ",85475,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,15,334,43.7804,-79.316295,"38",1.94598525330956
124,Joaquin,Rahm,,TORONTO,,Canada,Female,52,2,"70,000 - 99,999 ",89166,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,58,580,43.647828,-79.541797,"30",2.52446038858127
125,Louis,Clark,,TORONTO,,Canada,Female,41,5,"160,000 - 189,999",174082,Executive,Doctorate,Owner,Family,City Affluence,80,126,43.810669,-79.335265,"44",0.548291781464337
126,Abraham,Rahm,,TORONTO,,Canada,Male,46,1,"40,000 - 69,999",44975,Administration,College,Rent,Singles,Young Up and Comers,4,717,43.754225,-79.268337,"41",1.94742771987288
127,Tony,MacIntyre,,TORONTO,,Canada,Male,58,1,"40,000 - 69,999",48580,Administration,College,Rent,Singles,Young Up and Comers,56,110,43.721234,-79.479948,"16",2.71516702203696
128,Collin,Eckroat,,TORONTO,,Canada,Female,53,3,"100,000 - 129,999",129394,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,55,1147,43.673231,-79.383177,"13",0.402716335677854
129,Tiger,Theegala,,TORONTO,,Canada,Male,50,2,"70,000 - 99,999 ",98925,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,51,786,43.695717,-79.316134,"2",2.33451142418907
130,Tony,Fitzpatrick,,TORONTO,,Canada,Male,50,1,"40,000 - 69,999",56550,Administration,College,Rent,Singles,Young Up and Comers,119,1041,43.749178,-79.238698,"42",1.27779608298023
131,Joaquin,Schauffele,,TORONTO,,Canada,Female,26,2,"70,000 - 99,999 ",97665,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,7,981,43.816693,-79.26107,"59",3.57223303240304
132,Justin,Lee,,TORONTO,,Canada,Female,45,2,"70,000 - 99,999 ",91048,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,74,209,43.69806,-79.454826,"48",0.565907170111456
133,Bryson,Conners,,TORONTO,,Canada,Male,21,2,"70,000 - 99,999 ",84804,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,100,201,43.753184,-79.541918,"34",4.52884966768533
134,Joaquin,Homa,,TORONTO,,Canada,Male,57,5,"160,000 - 189,999",184628,Executive,Doctorate,Owner,Family,City Affluence,60,904,43.771642,-79.414652,"50",2.53343053417012
135,Viktor,McIlroy,,TORONTO,,Canada,Male,58,3,"100,000 - 129,999",111384,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,57,506,43.744816,-79.222346,"45",0.526573660285588
136,Adam,Oosthuizen,,TORONTO,,Canada,Female,38,3,"100,000 - 129,999",104286,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,58,310,43.699411,-79.363289,"21",0.391058615013884
137,Adam,Niemann,,TORONTO,,Canada,Male,19,4,"130,000 - 169,999",138888,Sr. Manager,Masters,Owner,Family,Established Success,61,289,43.731223,-79.58649,"32",8.66992115192568
138,Will,Finau,,TORONTO,,Canada,Female,46,1,"40,000 - 69,999",68373,Administration,College,Rent,Singles,Young Up and Comers,22,666,43.697106,-79.366297,"21",0.681629930073996
139,Matt,Scott,,TORONTO,,Canada,Male,53,4,"130,000 - 169,999",150242,Sr. Manager,Masters,Owner,Family,Established Success,109,532,43.806616,-79.377314,"50",4.5005297869574
140,Brooks,Hughes,,TORONTO,,Canada,Male,40,1,"40,000 - 69,999",48738,Administration,College,Rent,Singles,Young Up and Comers,71,373,43.776911,-79.213224,"42",2.62377733096382
